Title_1,Title_2,Part_1,Part_2,Model_1,Desc_1,Price
HTX19 Dell Chromebook 11 3110 2-in-1 Touchscreen LCD Assembly w/Frame Board(40pins),,,,Dell Chromebook 11 3110 2-in-1,,
1R4F6 Dell Latitude 3140 2-in-1 LCD Panel 11.6“ 1366*768 HD NT116WHM-N21,,,,Dell Latitude 3140 2-in-1,,
"806R4 11.6"" Lcd Touch Screen w/ Bezel Assembly for Dell Latitude 3140 2-in-1",,,,Dell Latitude 3140 2-in-1,,
"1H0JY/4FHP9/NVJ3P 13.3"" LCD Touch Digitzer Assembly for Dell Latitude 3390 2-in-1 No Back Camera Cable",,,,Dell Latitude 3390 2-in-1,,
"5D10Y67266/5D10T79505 Lenovo Chromebook 300E Gen2 11.6"" LCD Touch Assembly w/Frame Digitizer G-Sensor Board",,,,Lenovo Chromebook 300E Gen2,,
90NX02G1-R20010 Asus 14 C433TA Chromebook LCD Touchscreen Digitizer Module,,,,Asus 14 C433TA Chromebook,,
"6M.H99N7.001 Acer Chromebook Spin 512 R851TN US (Touch) 12.0"" 1366*912 LCD Assembly W/Frame Board EMR",,,,Acer Chromebook Spin 512 R851TN US (Touch),,
"Microsoft Surface Book 2 1806 1832 13.5"" LCD Display Touch Screen Digitizer Assembly",,,,Microsoft Surface Book 2 1806 1832,,
"Microsoft Surface Book 1 1703 1704 1705 1706 LCD Display 13.5"" Touch Screen Digitizer Assembly",,,,Microsoft Surface Book 1 1703 1704 1705 1706,,
"12.4"" Microsoft Surface GO 1943 LCD Display Touch Screen Digitizer Assembly",,,,"12.4"" Microsoft Surface GO 1943",,
"Microsoft Surface Pro X 1876 13"" 2880×1920 LCD Display Touch Screen Digitizer Assembly",,,,Microsoft Surface Pro X 1876,,
Microsoft Surface Pro 7+ 1960 12.3“ 2736*1824 LCD Screen Digitizer Assembly,,,,Microsoft Surface Pro 7+ 1960,,
Microsoft Surface Pro 7 1866 12.3“ 2736×1824 LCD Screen Digitizer Assembly w/Front Glass&Flex Cable,,,,Microsoft Surface Pro 7 1866,,
Microsoft Surface Pro 5/6 1796 12.3“ 2736*1824 LP123WQ1 Screen Touch Assembly,,,,Microsoft Surface Pro 5/6 1796,,
Microsoft Surface Pro 4 1724 12.3“ 2736*1824 LCD LED Display Touch Screen Glass Sensor Digitizer Assembly,,,,Microsoft Surface Pro 4 1724,,
"Microsoft Surface Pro 3 1631 12.0"" 2160(RGB)×1440 LCD Touch Screen Digitizer Assembly LTL120QL01 TOM12H20",,,,Microsoft Surface Pro 3 1631,,
Microsoft Surface RT 3 1645 1657 10.8” 1920×1280 LED LCD Display Touch Screen Digitizer Assembly,,,,Microsoft Surface RT 3 1645 1657,,
17M7M Dell Chromebook 11 3110 2-in-1 LCD Touchscreen Assembly w/Frame Board(30pins),,,,Dell Chromebook 11 3110 2-in-1,,
"5D11C95914 Lenovo Chromebook 500E G4 YOGA (TOUCH) 12.2"" FHD 1920*1200 LCD Touch Screen w/Bezel Assembly",,,,Lenovo Chromebook 500E G4 YOGA,,
"RN9GF LCD Touchscreen Assembly for Dell Latitude 3310 2-in-1 13.3"" FHD LED Screen Module",,,,,,
6M.H90N7.002/KL.1160D.022 Acer Chromebook Spin 511 (R752T-C3M5-US) LCD Touch Screen Assembly,,,,Acer Chromebook Spin 511 R752T,,
"6M.H92N7.001 Acer Chromebook Spin 511 R752TN-C2J5 LCD Touchscreen Assembly 11.6"" B116XAB01.4",,,,Acer Chromebook Spin 511 R752TN,,
6M.H0BN7.002 LCD Touch Assembly Digitizer Module for Acer Chromebook 10 Tab 10(Touch),,,,Acer Chromebook 10 Tab 10(Touch),,
"14.0"" FHD Asus Vivobook Go Flip TP1400K TP1400KA LCD Touch Screen Display Assembly",,,,Asus Vivobook Go Flip TP1400K TP1400KA,,
"5M11F25316 5M11F25317 Lenovo L13 Yoga Gen 3 21B5 13.3"" FHD Touch Screen Assembly w/ Frame Board",,,,Lenovo L13 Yoga Gen 3 21B5,,
5M10W64511 FHD LCD Screen Assembly w/Frame Board for Lenovo Chromebook 10E Tablet (82AM0002US),,,,Lenovo Chromebook 10E Tablet (82AM0002US),,
5D11C95886/5D11M35206 Lenovo Chromebook 500E G3(82JB) HD LCD Assembly w/Frame Board G-Sensor,,,,Lenovo Chromebook 500E G3(82JB),,
"01LW704 Lenovo Yoga 11E 5G (20LM) (20LM000XUS) 11.6"" HD Windows LCD Screen Assembly w/Frame Board",,,,Lenovo Yoga 11E 5G (20LM) (20LM000XUS),,
"5M11E18561 Lenovo Thinkpad L13 (20R5)/ L13 (20VK) 13.3"" FHD 1920×1080 LCD Touch Screen Assembly",,,,Lenovo Thinkpad L13 (20R5)/ L13 (20VK),,
"Lenovo 300e Chromebook 2nd Gen 11.6"" HD LCD Screen w/Digitizer&Bezel Asseembly No EMR 5D11E72134",,,,Lenovo 300e Chromebook 2nd Gen,,
Lenovo 500e Chromebook 2nd Gen LCD Screen w/ Digitizer & Bezel Asseembly No EMR 5D10T79593 5D10T34443,,,,Lenovo 500e Chromebook 2nd Gen,,
"Lenovo Chromebook 11 N23 Yoga 11.6"" 1366X768 LCD Touchscreen Digitizer Display Assembly 5D68C07628 5D68C09575",,,,Lenovo Chromebook 11 N23 Yoga,,
Lenovo Thinkpad X1 L13 YOGA Gen 2 20VL LCD Display TouchScreen Digitizer Assembly 5M10W64463,,,,Lenovo Thinkpad X1 L13 YOGA Gen 2 20VL,,
"5D11C95908 Lenovo 300E Yoga Chromebook Gen 4 11.6"" HD  Lcd Touch Screen Bezel",,,,Lenovo 300E Yoga Chromebook Gen 4,,
5D10T45069 5D10S3968 Lenovo Winbook 300E 2nd Gen 2 81M9 82GK LCD Assembly w/Frame Board G-Sensor,,,,Lenovo Winbook 300E 2nd Gen 2,,
"New HP Pro x360 Fortis 11 G10 11.6"" HD 1366*768 Touchscreen Display Assembly with Slim Display (Touch) N00430-001",,,,HP Pro x360 Fortis 11 G10 Laptop,,
HP Pavilion x360 Convertible 14-dh0115TU TPN-W139 LCD screen Assembly w/Frame Board,,,,HP Pavilion x360 Convertible 14-dh0115TU TPN-W139,,
"6M.VFZN7.001 Acer Travelmate Spin B1 B118-R LCD Touch Screen Glossy Assembly 11.6"" 1366*768 B116XAB01.0",,,,Acer Travelmate Spin B1 B118-R,,
"6M.A91N7.001 Acer Chromebook Spin R853TA 12"" HD 1366×912 Glossy LCD Screen Assembly w/Bezel With G-Sensor(55.A91N7.002)",,,,Acer Chromebook Spin R853TA,,
"Acer Chromebook R 13 CB5-312T LCD Touch Panel 13.3"" FHD Matte w/ Bezel Assembly 6M.GHPN7.001 6M.GHPN7.002",,,,Acer Chromebook R 13 CB5-312T,,
"Acer Chromebook Spin 13 CP713 Series LCD LED Touch Panel w/ Bezel 13.5"" QHD 3840*2160 40Pins 6M.H0RN7.001 6M.H0RN7.002",,,,Acer Chromebook Spin 13 CP713 Series,,
"Acer Chromebook 11 Spin 311 R721T (Touch) 11.6"" HD B116XAB01.4 LCD Touchscreen Assembly w/Bezel 6M.HBRN7.002/6M.HBRN7.003",,,,Acer Chromebook 11 Spin 311 R721T (Touch),,
"6M.HX4N7.001 LED Touch Screen w/Bezel Assembly for ACER Chromebook 514 CP514 14""  B140HAN04.0 FHD",,,,ACER Chromebook 514 CP514,,
"L28256-001 HP Probook x360 440 G1 LCD Touch Display Assembly 14"" FHD LP140WF8-SPR1",,,,HP Probook x360 440 G1,,
P161G Dell Inspiron 14 7420 2-in-1 LCD Display Touch Screen Digitizer Assembly (No Bezel),,,,,,
3NM8D 21P46 Dell Latitude 3120 2-in-1 Touch Screen Panel with Frame and Boards Assembly,,,,Dell Latitude 3120 2-in-1,,
"LCD Screen Display Complete Assembly for Dell OEM Latitude 3440 14"" Touchscreen YRHM8",,,,DELL Latitude 14 3440 E3440,,
Dell Chromebook 3100 2 in 1 LCD Panel Touch Screen Assembly with Bezel Module TM6C0,,,,Dell Chromebook 3100 2-in-1,,
Dell Latitude 3390 2-in -1 LCD Back Cover Lid 3XWRX,,,,Dell Latitude 3390 2-in-1,,
NVJ3P Dell Latitude 3390 2-in-1 LCD Screen with Touchscreen Digitizer and Bezel B133HAB01.0,,,,Dell Latitude 3390 2-in-1,,
90NX01P1-R31UI0 Laptop Palmrest with Keyboard for Asus Chromebook 14 C403NA,,,,Asus Chromebook 14 C403NA,,
"6M.A8ZN7.001 Acer Chromebook Spin 511 R753T 11.6"" LCD screen Assembly w/Frame Board",,,,Acer Chromebook Spin 511 R753T,,
DD9NC HH8T4 Dell Latitude 3190 2-in-1 LCD Screen Assembly 11.6” HD NV116WHM-A23,,,,Dell Latitude 3190 2-in-1,,
"Dell Latitude 3190 2-in-1 11.6"" LCD Screen Assembly w/Frame Board 9KNWN V4VFK",,,,Dell Latitude 3190 2-in-1,,
"TJ829 KY8GR LCD Screen Assembly w/Bezel for Dell Latitude 3120 Panel 11.6"" N116BCA-EA1",,,,Dell Latitude 3120,,
"6NKDX Laptop Touch Screen+13.3"" 40 Pins LCD Display Assembly for Dell Latitude 3390",,,,Dell Latitude 3390,,
Dell Latitude 3180 3189 DC Jack Power Cable XNJ46,,,,For Dell Latitude 3180 3189,,
"5D10T95195 11.6"" Lenovo Touch Screen Replacement For 300e Chromebook 2nd Gen MTK",,,,Lenovo Chromebook 300E Gen2 MTK,,
5D10T79505 Lenovo Chromebook 300E 81MB 2nd Gen LCD Touch Screen Digitizer Assembly (6pin G-Sensor),,,,Lenovo Chromebook 300E 81MB 2nd Gen,,
5D11D01448 Lenovo 300e Chromebook 2nd Gen Touch Screen LCD Assembly With Frame Board  (8-pin G-Sensor),,,,Lenovo Chromebook 300E 81MB 2nd Gen,,
KYV20 9HNJ4 for Dell Latitude 11 (3190) 3189 2-in-1 11.6 Inch HD LCD LED Screen Assembly with Frame Board&G-Sensor,,,,For Dell Latitude 11(3190)3189 2-in-1,,
TG1WM Dell Latitude 3310 2-in-1 LCD Panel Assembly w/Frame Board G-Sensor,,,,,,
"Microsoft Surface Book 3 1900 1908 13.5"" 1900×1909 LCD Screen Display Replacement",,,,,,
"Microsoft Surface GO 1 1824 10"" LQ100P1JX51 2256×1504 LCD Screen Touch Assembly Replacement",,,,,,
"13.5"" LCD Screen Panel Replacemen For Microsoft Surface 1 2 1769",,,,,,
Microsoft Surface Go 1926 1901 1927 LCD Replacement LCD Screen Assembly,,,,,,
"13.5"" 2256*1504 Microsoft Surface LCD Replacement For Laptop 3 1867 1868 1873",,,,,,
LP150QD1-SPA1 Microsoft Surface Book 2 1793 LCD Digitizer Replacement 3240×2160,,,,,,
"LCD LED Screen Replacement Display For Microsoft Surface 3 15"" 1872 1873",,,,,,
LSN133DL04-A05 Apple Retina MacBook Pro A1706 13.3 Inch Lcd Panel 1920×1080,,,,,,
"661-15389 Apple LCD Display Space Grey For MacBook Air 13"" 2020 Scissors A2179",,,,,,
661-02990 IMAC A1418 4096×2304 4K LCD Screen Replacement LM215UH1 SDB1 LCD+Glass Late 2015 EMC3069,,,,,,
"661-5737 661-60699 Apple MacBook Air A1370 2010 2011 2012 11"" LCD Screen Display Assembly",,,,,,
"661-7468 661-02345 11.6"" For Apple MacBook Air 11"" A1465 LCD Screen Replacement",,,,,,
"LM270QQ1 SD D1 Imac LCD Screen Assembly For Apple IMac Pro 27"" A1862 2017",,,,,,
"661-10037 Macbook LCD Screen Replacement MacBook Pro 13"" A1989 A2159 2018 C02X40ROJHCC",,,,,,
"661-03255 LCD Screen Assembly For Apple IMac 27"" A1419 LCD 2015 LM270QQ1SDB1",,,,,,
Apple Macbook Pro A1990 A1707 Glass LCD Screen LP154WT5-SJA1 LP154WT5,,,,,,
"661-10357 LCD Screen Replacement For Macbook Air 13.3"" A2681 M2 2022 EMC4074",,,,,,
"661-14200 LCD Assembly Silver For MacBook Pro Retina 16"" A2141 2019 EMC3347",,,,,,
"661-8310 Macbook LCD Screen Replacement For Apple Pro Retina 15"" A1398 Late 2013-2014",,,,,,
"15"" UHD Lenovo Yoga 710-15IKB 80V5 LCD Touch Screen Assembly 5D10L13036",,,,,,120
5M11C85596 5M11C85595 Lenovo 300W Gen3 500W Gen 3 chromebook LCD Replacement Assembly,,,,,,38
"B116XAK01.2 11.6"" HD LCD Touch Screen for Acer Chromebook C731T",,,,,,
"6M.H92N7.001 LCD Screen Replacement for Acer Chromebook Spin 511 R752TN-C2J5 11.6"" B116XAB01.4 No EMR ",,,,,,
"6M.HX4N7.001 B140HAN04.0 14.0"" FHD LCD Complete Assembly For ACER Chromebook 514 CP514-1H-R4HQ-US",,,,,,
6M.A8ZN7.006 11.6 Inch LCD Screen Replacement For Acer Chromebook Spin 511 R753T,,,,,,
B133HAK02.4 13.3 ” FHD Incell-Touch Screen Replacement Display For HP Elitebook 830 G7,,,,,,
L92337-001 L92338-001 LCD Touch Screen W Bezel for HP Chromebook X360 11 G3 EE,,,,,,
X140NVFC R0 IVO8C78 FHD LCD Screen For HP ELitebook 840 G7 HP P/N L92716-ND1,,,,,,
"L42694-ND1 HP Elitebook 840 G6 R140NVFA R1 14.0"" FHD 40 Pins LCD Screen Replacement",,,,,,
L92337-001 L92338-001 HP LCD Screen Replacement For Chromebook X360 11 G3 EE W/ Bezel,,,,,,
"912370-003 11.6"" For HP Chromebook 11 G5 Laptop LCD Replacement B116XAK01.4 B116XAK01.2",,,,,,
"NV116WHM-T04 11.6"" HP LCD Screen Replacement For ChromeBook 11 G8 EE",,,,,,
L53205-001 L53206-001 HP Chromebook X360 11 G2 EE NV116WHM-T10 LCD Screen Assembly W/Frame Board,,,,,,
"928588-001 HP Chromebook X360 11-AE Series G1 EE 11.6"" LCD Panel Screen Replacement",,,,,,
5D11E72134 LCD Touch Screen LCD Assembly For Lenovo 300e Chromebook 2nd Gen,,,,,,120
078GNG Dell Chromebook 11 3110 2-in-1 (Touch) LCD Screen Replacement Assembly,,,,,,
"6GHX8 06GHX8 NV133FHM-T00 13.3"" FHD LCD Touch Screen For Dell Latitude 3310 3330",,,,,,
P99NW 5T1KK M0XG8 Dell Chromebook 3100 LCD Screen Touch Assembly,,,,,,
078GNG LCD Touch Screen Replacement For Dell Chromebook 11 3110 2-In-1,,,,,,
002X3T Dell Chromebook 11 5190 LCD Touch LCD Screen Panel,,,,,,
03NM8D Dell LCD Screen Replacement For Chromebook 11 3110 2 In 1 LCD,,,,,,
MFX94 45GHC VCTXR Dell Chromebook 3100 Screen Replacement 2 In1 LCD Touchscreen Assembly With Bezel,,,,,,
0VCTXR Dell Chromebook 11 5190 2 In 1 LCD Screen w/Bezel Replacement Display,,,,,,
0798C5 Dell Touch Screen Chromebook 11 3189 LCD Touch Digitizer Screen Assembly,,,,,,
"26DW7 Dell LCD Screen Replacement For Dell Chromebook 11 (3120) 11.6"" Touchscreen WXGAHD",,,,,,
"03WXT4 NT116WHM-A20 11.6"" LCD Touch Screen for Laptop Panel Replacement",,,,,,
Dell Chromebook 11 3120 Replacement LCD Screen NV116WHM-A20 NV116WHM-A22 With Touch,,,,,,
P2FCT Dell Chromebook 11 5190 2-In-1 LCD Screen Replacement T0HJY ZBDZ06 B116XAB01 .2,,,,,,
"74XJT LCD Screen Replacement 15.6"" FHD Complete LCD for Dell XPS 15 9560 9550 Precision 5510",,,,,,
P99NW 5T1KK M0XG8 Dell Chromebook 3100 Touch Assembly with Frame Built-In Board,,,,,,
"5D10S39728 Lenovo 13.3"" FHD Touch Screen Assembly for Lenovo IdeaPad Duet 5 Chromebook 13Q7C6",,,,,,
"5D10S39706 11.6"" LLCD Screen Assembly Replacement For enovo Flex 3 Chrome 11M836",,,,,,
"SD10W08497 Lenovo Chromebook LCD Screen Replacement 11.6"" N116HSE-EBC",,,,,,
5D11C95890 Lenovo LCD Screen Assembly Replacement For 300e Chromebook Gen 3,,,,,,
5D10Z90321 Lenovo Chromebook 100E Gen3 AMD LCD Screen Replacement N116BGE-EA2,,,,,,
078GNG Dell Chromebook 11 3110 2-in-1 (Touch) LCD Screen Replacement Assembly,,,,,,
5M10Z54438 5M10Z54435 5M10Z54434 Lenovo ThinkPad C13 Yoga Gen 1 Chromebook FHD LCD LED Touch Screen Display Assembly,,,,,,
5D10S73319 for Lenovo Yoga C930-13 C930-13IKB 81C4 FHD 1920×1080 LCD Touch Screen Digitizer Assembly,,,,,,
"CGDY2 Laptop LED LCD Replacement Screen 15.6"" 40 Pin 360HZ",,,,,,
"5D10S39615 Lenovo IdeaPad Yoga C940-15IRH 15.6"" FHD LCD Replacement W/Frame Board",,,,,,
"Lenovo Thinkpad P50 P51s 15.6"" UHD 4K LCD Screen Fit LQ156D1JW05 B156ZAN02.1 Panel",,,,,,
5D10Z90321 Lenovo Chromebook 100E Gen3 AMD LCD Screen Replacement N116BGE-EA2,,,,,,
5D10S73325 Lenovo LCD Screen Replacement Module For Lenovo Chromebook C330 B116XAB01,,,,,,
"5D10S39810 Lenovo Yoga 7 14IAL7 2K LCD Touch Screen Assembly Replacement 82QE OLED 14.0"" 2880*800",,,,,,
SD10W08497 Lenovo Chromebook C350-11 N116HSE-EBC HD Lcd Screen Replacement,,,,,,
5D11C95890 Lenovo LCD Screen Assembly Replacement For 300e Chromebook Gen 3,,,,,,
5D11D01448 LCD Touch Screen Replacement for Lenovo 300E Chromebook 2nd Gen 2,,,,,,
5D10S73320 Lenovo LCD Screen Replacement Yoga C930-13IKB 81C4000HUS UHD 3840*2160,,,,,,
"5D10S73319 Lenovo Yoga C930-13IKB 81C4 13.9"" FHD LCD Touch Screen Digitizer Assembly W Frame Board",,,,,,
"5D10S39615 Lenovo LYoga C940-15IRH 15.6"" FHD CD Screen Replacement W/Frame Board",,,,,,
5D10S73325 Replacement LCD Screen for Lenovo Chromebook C330 B116XAB01 – Screens,,,,,,
01AV969/01YT002 Lenovo 11e 20G8/20GA Palmrest w/Touchpad w/Speaker Windowns (No Fingerprint Reader),,,,,,
5M11C85595 5M11C85599 5M11C85596 Lenovo Windows 300W 500W Gen3(82J1 82J2 82J3 82J4) LCD assembly,,,,"LCD with touch,Bezel, Board,G-Sensor Assembly Compatible",,
5M11C85595 5M11C85599 5M11C85596 Lenovo Windows 300W 500W Gen3(82J1 82J2 82J3 82J4) LCD assembly,,,,,,
